2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-16:40:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:41:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:41:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:41:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:42:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:42:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:42:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:42:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:42:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:42:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:43:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:43:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:43:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:43:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:43:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:43:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:44:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:44:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:44:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:44:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:44:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:44:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:45:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:45:00.000-06:00I----- pdweb.authn pass	 : 1
2010-07-14-16:45:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:45:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:45:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-16:45:00.000-06:00I----- pdweb.authn avg	 : 0.015
